,college,college_code,campus_code,full_name,class_selection,tier,tier_code,ranking,admission_mean_score,admission_max_score,admission_min_score,quota,admission_mean_score_l1,admission_max_score_l1,admission_min_score_l1,quota_l1
0,三峡大学,4142011075,0,三峡大学,1,本科一批,tier_4_1,249,493,534,476,42,466.0,511.0,452.0,43.0
1,上海交通大学,4131010248,1,上海交通大学(医学院),1,本科一批,tier_4_1,7,652,657,646,4,625.0,630.0,620.0,4.0
2,上海交通大学,4131010248,0,上海交通大学,1,本科一批,tier_4_1,6,667,673,661,5,645.0,652.0,640.0,10.0
3,上海应用技术大学,4131010259,0,上海应用技术大学,1,本科一批,tier_4_1,364,471,477,465,11,,,,
4,上海海事大学,4131010254,0,上海海事大学,1,本科一批,tier_4_1,142,510,524,501,38,482.0,512.0,471.0,39.0
5,上海海洋大学,4131010264,0,上海海洋大学,1,本科一批,tier_4_1,238,478,497,468,6,,,,
6,上海理工大学,4131010252,0,上海理工大学,1,本科一批,tier_4_1,105,535,552,525,73,507.0,516.0,497.0,74.0
7,上海电力大学,4131010256,0,上海电力大学,1,本科一批,tier_4_1,222,508,546,492,41,479.0,510.0,462.0,40.0
8,上海电机学院,4131011458,0,上海电机学院,1,本科一批,tier_4_1,423,476,482,471,21,450.0,456.0,445.0,20.0
9,上海立信会计金融学院,4131011047,0,上海立信会计金融学院,1,本科一批,tier_4_1,200,530,549,518,42,519.0,559.0,500.0,57.0
10,上海第二工业大学,4131012044,0,上海第二工业大学,1,本科一批,tier_4_1,423,487,492,482,8,456.0,459.0,451.0,8.0
11,上海财经大学,4131010272,0,上海财经大学,1,本科一批,tier_4_1,13,630,639,620,22,616.0,626.0,608.0,23.0
12,东北农业大学,4123010224,0,东北农业大学,1,本科一批,tier_4_1,196,477,483,464,4,471.0,476.0,467.0,4.0
13,东北大学,4121010145,1,东北大学(秦皇岛分校),1,本科一批,tier_4_1,109,531,542,522,30,498.0,524.0,489.0,30.0
14,东北大学,4121010145,0,东北大学,1,本科一批,tier_4_1,92,558,574,549,37,538.0,573.0,529.0,37.0
15,东北师范大学,4122010200,0,东北师范大学,1,本科一批,tier_4_1,140,552,578,543,18,498.0,534.0,481.0,16.0
16,东北林业大学,4123010225,0,东北林业大学,1,本科一批,tier_4_1,164,492,524,475,54,464.0,490.0,448.0,55.0
17,东北电力大学,4122010188,0,东北电力大学,1,本科一批,tier_4_1,243,503,558,470,67,479.0,538.0,444.0,67.0
18,东北石油大学,4123010220,0,东北石油大学,1,本科一批,tier_4_1,286,471,493,464,15,459.0,489.0,439.0,15.0
19,东北财经大学,4121010173,0,东北财经大学,1,本科一批,tier_4_1,67,542,585,516,12,551.0,583.0,540.0,11.0
20,东华大学,4131010255,0,东华大学,1,本科一批,tier_4_1,72,552,570,547,35,528.0,545.0,519.0,33.0
21,东华理工大学,4136010405,0,东华理工大学,1,本科一批,tier_4_1,418,471,487,463,27,445.0,453.0,439.0,25.0
22,东南大学,4132010286,0,东南大学,1,本科一批,tier_4_1,22,608,635,597,34,591.0,629.0,577.0,35.0
23,中北大学,4114010110,0,中北大学,1,本科一批,tier_4_1,215,478,496,472,27,455.0,502.0,443.0,24.0
24,中南大学,4143010533,0,中南大学,1,本科一批,tier_4_1,38,588,638,576,99,561.0,590.0,547.0,99.0
25,中南林业科技大学,4143010538,0,中南林业科技大学,1,本科一批,tier_4_1,238,478,501,469,58,452.0,468.0,445.0,63.0
26,中南民族大学,4142010524,0,中南民族大学,1,本科一批,tier_4_1,274,483,519,472,96,458.0,490.0,444.0,100.0
