,class_selection,year,score,ranking,ranking_l1,score_l1,ranking_f1,score_f1,equiv_ratio
0,1,2016,696,1.0,2,695,0,750,99.9899978637695
1,1,2016,695,2.0,3,692,1,696,99.9899978637695
2,1,2016,692,3.0,5,691,2,695,99.9899978637695
3,1,2016,691,5.0,7,689,3,692,99.9899978637695
4,1,2016,689,7.0,8,683,5,691,99.9800033569336
5,1,2016,683,8.0,9,681,7,689,99.9800033569336
6,1,2016,681,9.0,10,680,8,683,99.9800033569336
7,1,2016,680,10.0,11,679,9,681,99.9800033569336
8,1,2016,679,11.0,12,678,10,680,99.9700012207031
9,1,2016,678,12.0,14,674,11,679,99.9700012207031
10,1,2016,674,14.0,15,673,12,678,99.9700012207031
11,1,2016,673,15.0,16,672,14,674,99.9599990844727
12,1,2016,672,16.0,18,670,15,673,99.9599990844727
13,1,2016,670,18.0,22,669,16,672,99.9599990844727
14,1,2016,669,22.0,23,668,18,670,99.9499969482422
15,1,2016,668,23.0,25,667,22,669,99.9400024414062
16,1,2016,667,25.0,28,666,23,668,99.9400024414062
17,1,2016,666,28.0,30,665,25,667,99.9300003051758
18,1,2016,665,30.0,31,664,28,666,99.9300003051758
19,1,2016,664,31.0,33,663,30,665,99.9199981689453
20,1,2016,663,33.0,34,662,31,664,99.9199981689453
21,1,2016,662,34.0,37,660,33,663,99.9199981689453
22,1,2016,660,37.0,38,659,34,662,99.9100036621094
23,1,2016,659,38.0,42,658,37,660,99.9100036621094
24,1,2016,658,42.0,44,657,38,659,99.9000015258789
25,1,2016,657,44.0,48,656,42,658,99.8899993896484
26,1,2016,656,48.0,54,655,44,657,99.879997253418
27,1,2016,655,54.0,60,654,48,656,99.870002746582
28,1,2016,654,60.0,66,653,54,655,99.8499984741211
29,1,2016,653,66.0,69,652,60,654,99.8399963378906
30,1,2016,652,69.0,72,651,66,653,99.8300018310547
31,1,2016,651,72.0,78,650,69,652,99.8199996948242
32,1,2016,650,78.0,82,649,72,651,99.8099975585938
